Angle,Intensity
27.7772,1490
27.7874,1439
27.7975,1538
27.8077,1476
27.8179,1560
27.8281,1518
27.8383,1514
27.8485,1493
27.8587,1558
27.8689,1516
27.8791,1525
27.8893,1553
27.8995,1504
27.9097,1585
27.9199,1537
27.9301,1592
27.9402,1521
27.9504,1598
27.9606,1598
27.9708,1526
27.981,1595
27.9912,1536
28.0014,1594
28.0116,1561
28.0218,1599
28.032,1617
28.0422,1575
28.0524,1589
28.0626,1631
28.0728,1656
28.0829,1588
28.0931,1551
28.1033,1633
28.1135,1681
28.1237,1602
28.1339,1614
28.1441,1586
28.1543,1626
28.1645,1686
28.1747,1698
28.1849,1622
28.1951,1587
28.2053,1610
28.2155,1711
28.2256,1652
28.2358,1678
28.246,1657
28.2562,1647
28.2664,1665
28.2766,1672
28.2868,1705
28.297,1675
28.3072,1702
28.3174,1675
28.3276,1745
28.3378,1656
28.348,1686
28.3582,1709
28.3683,1763
28.3785,1760
28.3887,1712
28.3989,1718
28.4091,1696
28.4193,1763
28.4295,1768
28.4397,1789
28.4499,1824
28.4601,1751
28.4703,1713
28.4805,1731
28.4907,1756
28.5009,1704
28.511,1749
28.5212,1818
28.5314,1752
28.5416,1765
28.5518,1706
28.562,1862
28.5722,1727
28.5824,1713
28.5926,1809
28.6028,1842
28.613,1806
28.6232,1803
28.6334,1757
28.6436,1824
28.6537,1824
28.6639,1772
28.6741,1819
28.6843,1862
28.6945,1872
28.7047,1883
28.7149,1867
28.7251,1788
28.7353,1843
28.7455,1880
28.7557,1823
28.7659,1869
28.7761,1879
28.7863,1861
28.7964,1738
28.8066,1819
28.8168,1871
28.827,1854
28.8372,1816
28.8474,1917
28.8576,1833
28.8678,1853
28.878,1898
28.8882,1828
28.8984,1897
28.9086,1877
28.9188,1922
28.929,1909
28.9391,1896
28.9493,1921
28.9595,1956
28.9697,1900
28.9799,2029
28.9901,1975
29.0003,1901
29.0105,1909
29.0207,1838
29.0309,1911
29.0411,1953
29.0513,1964
29.0615,1916
29.0717,1914
29.0818,1915
29.092,1931
29.1022,2005
29.1124,2009
29.1226,1924
29.1328,1983
29.143,1918
29.1532,2038
29.1634,2043
29.1736,1985
29.1838,1914
29.194,1976
29.2042,1870
29.2144,1962
29.2245,1950
29.2347,1908
29.2449,1949
29.2551,2003
29.2653,1991
29.2755,1998
29.2857,1990
29.2959,2113
29.3061,2062
29.3163,2001
29.3265,2068
29.3367,2031
29.3469,2042
29.3571,2027
29.3672,2026
29.3774,1988
29.3876,1974
29.3978,2077
29.408,2087
29.4182,2093
29.4284,2073
29.4386,1981
29.4488,2137
29.459,2068
29.4692,2031
29.4794,2039
29.4896,2139
29.4998,2092
29.5099,2089
29.5201,2127
29.5303,2014
29.5405,2036
29.5507,2035
29.5609,1956
29.5711,2050
29.5813,2030
29.5915,2226
29.6017,2168
29.6119,2124
29.6221,2049
29.6323,2085
29.6425,2151
29.6526,2164
29.6628,2129
29.673,2089
29.6832,2040
29.6934,2130
29.7036,2117
29.7138,2151
29.724,2131
29.7342,2123
29.7444,2202
29.7546,2271
29.7648,2137
29.775,2112
29.7852,2215
29.7953,2138
29.8055,2096
